"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"Vti1a",0,0,0,0,0,0
"P2ry14",0,0,0,0,0,0.05
"Stard9",0,0,0.02,0.18,0,0.25
"Eva1b",0,0,0,0.7,0,0
"Soga3",0.17,0,0,0,0,0
"Hspa13",0.05,0,0.16,0,0,0
"Lhpp",0,0,0.68,0,0,0
"B230217J21Rik",0.47,0,0,0,0,0
"Sv2b",0.64,0.09,0.55,0,0,0
"Sema6a",0,0,0.01,0,0,0.38
"Cpne5",0.22,0.12,0,0.78,0,0
"Riiad1",0.02,0,0,0,0.02,0.35
"Efcab1",0,0.17,0,0,0,0.13
"Scn3a",0,0,0,0,0,0.11
"Haghl",0,0,0,0,0,0.03
"Smad3",0,0,0,0,0,0.69
"Btbd11",0,0,0.15,0,0,0.11
"Unc5b",0.58,0.01,0,0,0,0.16
"St6galnac5",0,0.49,0,0,0,0.07
"Plat",0,0.17,0,0,0,0.26
"Mblac2",0,0,0,0,0,0
"Sst",0,0,0.01,0,0,0
"Btbd7",0,0,0,0.03,0.03,0
"Rspo3",0.49,0,0,0.59,0.62,0
"Lynx1",0,0,0,0,0,0.2
"Pdxk",0,0,0.23,0,0,0
"Phf11c",0,0.87,0,0,0,0
"Col2a1",0.95,0,0,0,0,0
"Med14",0,0,0.08,0.21,0,0
"Per2",0,0,0.52,0.06,0,0
"Ptprm",0,0,0,0.51,0.51,0
"Nell2",0.34,0.11,0,0,0,0
"Scai",0.17,0,0,0,0,0
"Vcan",0,0,0.19,0.95,0,0
"Syt16",0.07,0.15,0,0,0,0
"Pik3c2a",0,0,0,0,0.06,0
"Nin",0,0,0,0,0,0.07
"Mapk4",0,0,0.77,0,0,0
"Grik4",0.11,0,0,0,0.09,0
"Sfmbt2",0.09,0.45,0,0.48,0,0
"Nrg1",0,0,0.06,0.36,0,0.18
"Rorb",0.27,0,0,0,0.82,0
"Car6",0.6,0,0,0,0,0
"Lrrc10b",0,0.56,0,0,0,0
"Dpf1",0.11,0.03,0,0,0,0.03
"Dst",0.21,0,0,0,0.03,0.03
"Bcl2l11",0.39,0,0.58,0,0,0
"Dclk3",0.04,0.15,0,0.63,0,0
"Napepld",0,0,0.55,0,0,0.49
"Sqle",0,0,0,0,0,0.21
"Agbl4",0.13,0.17,0.11,0.15,0.16,0.1
"Ccdc171",0,0.19,0,0,0,0.25
"Rbks",0,0,0,0.41,0,0
"9530059O14Rik",0.48,0.21,0,0,0,0.18
"Esyt2",0,0,0,0.28,0,0
"Lca5",0,0.2,0,0,0,0.22
"Thbs4",0.85,0,0,0,0,0
"Ros1",0.5,0,0.23,0,0.49,0
"Gxylt2",0,0.28,0,0.45,0.12,0
"Rps6ka2",0,0,0,0,0,0.24
"Dera",0.28,0.15,0,0.33,0,0
"Vmn2r38",0.68,0,0,0,0.4,0.08
"Psmd9",0,0,0,0,0,0.04
"Coro2a",0,0,0,0,0,0.3
"Efcab6",0,0.27,0,0.25,0,0
"Cpsf4l",0,0.02,0,0,0,0.18
"Dscam",0.21,0.19,0,0,0.21,0.15
"Hsf4",0.26,0,0,0,0,0.22
"Adamts3",0,0.13,0,0.71,0.35,0
"Zeb1",0.1,0.06,0,0,0,0
"Tex10",0,0,0,0,0,0.23
"Slitrk1",0,0,0,0.36,0,0
"Pcca",0,0,0,0.14,0,0
"Cdkn1c",0,0,0.73,0,0,0
"Extl3",0,0,0,0.02,0,0.15
"Cers4",0.29,0,0,0,0,0
"Crim1",0,0,0,0,0,0.15
"Dnah5",0.01,0.33,0.25,0,0,0
"Asap2",0.47,0,0,0,0,0
"1700010K23Rik",0.06,0,0,0.41,0,0
"Exph5",0,0,0,0.93,0,0
"Aig1",0,0,0.09,0.13,0,0
"Mttp",0,0,0,0,0,0.04
"Tmem219",0.44,0,0,0,0.38,0.04
"Peli1",0,0,0,0,0,0.27
"Nxph1",0.48,0,0.81,0,0,0
"Rprm",0.45,0.47,0,0,0,0
"Dcc",0.06,0.1,0.49,0,0,0
"Utrn",0.08,0,0,0,0.91,0
"Dsg2",0,0.34,0,0.09,0.62,0
"Gabbr2",0,0,0,0,0.1,0.08
"Rsrp1",0,0,0,0,0,0.12
"Bpifb2",0,0,0.74,0,0,0
"Bmp2k",0,0,0.49,0,0,0
"4933431M02Rik",0,0,0,0,0.04,0.73
"Bmp3",0,0.27,0.3,0.6,0,0
"Hsp90b1",0,0,0.17,0,0.04,0
"Ntrk2",0,0,0,0.2,0,0
"Vcl",0.13,0,0,0,0,0.07
"Ddo",0,0,0.54,0,0,0.37
"Stum",0,0,0,0.9,0,0
"Aatk",0,0,0,0,0,0
"Slc25a30",0,0,0,0.05,0,0.3
"Rnps1",0,0,0,0,0,0.05
"9630041A04Rik",0,0.7,0,0,0,0
"Npffr1",0.66,0,0,0,0.64,0
"Nmrk1",0.22,0.6,0,0,0,0
"Adgrb1",0,0,0.04,0,0,0.02
"2900089D17Rik",0,0.53,0,0,0,0
"Plppr2",0,0,0,0,0,0.01
"Wdr76",0,0.17,0,0,0,0.29
"Scn1a",0,0,0,0.09,0,0
"Klf8",0,0.11,0,0.31,0,0
"Dnah12",0,0.12,0,0,0,0.71
"Ryr2",0.06,0.05,0,0.14,0,0
"Syne1",0.21,0.1,0,0,0,0
"Zar1",0.27,0,0,0,0.13,0.62
"Scg5",0.1,0,0.2,0,0.16,0.05
"Rasgrf2",0,0,0,0.47,0,0.13
"Fndc1",0,0,0,0,0,0.54
"Galnt3",0,0.07,0,0,0.3,0.41
"Cep83",0,0,0,0.13,0,0
"Prkd1",0,0,0,0.67,0,0.58
"4930527B05Rik",0,0,0,0.42,0,0
"Scaper",0,0,0,0.02,0,0.01
"Bend7",0,0,0,0,0,0.2
"6430584L05Rik",0.15,0.38,0,0.49,0,0
"4930567K20Rik",0,0,0,0,0,0.29
"Tm2d3",0,0,0.13,0,0,0
"Nfix",0,0,0.97,0,0,0
"D130043K22Rik",0,0,0,0,0,0
"Nrcam",0.03,0,0,0,0,0
"Ahi1",0.23,0.23,0.23,0.21,0.23,0.23
"Akt3",0.17,0,0,0,0.03,0
"Osbpl6",0.21,0.1,0,0,0.1,0
"2410018L13Rik",0.38,0,0.33,0,0.14,0
"Lsamp",0.24,0.25,0,0,0,0.24
"Il1rapl2",0.47,0.48,0,0,0,0
"Ctnnbl1",0,0.14,0,0,0,0
"Hccs",0.4,0,0,0,0,0.5
"Mid1",0,0,0.39,0,0,0.05
"Frrs1",0.03,0.33,0,0,0,0
"Tshr",0,0,0.53,0.06,0.18,0
"Ccdc34",0.3,0,0,0,0,0
"Fgf13",0,0,0,0.39,0.49,0
"Ankfn1",0,0,0,0.05,0,0.24
"Zfp977",0,0,0.14,0.28,0,0
"Nexn",0,0,0,0.82,0,0
"Nr6a1",0,0,0,0,0,0.06
"Usp20",0.02,0,0,0,0,0.02
"Frmd4a",0.2,0.05,0.16,0.17,0.06,0.2
"Tcaf1",0,0.03,0,0,0,0
"Uvrag",0.02,0.03,0,0,0,0
"Kcnmb4",0,0,0.06,0,0.09,0
"Tmem132cos",0.03,0.66,0.01,0,0,0
"Gpr22",0,0,0,0.12,0,0.35
"Sv2c",0,0.25,0,0,0,0.28
"Chodl",0,0,0,0,0.71,0
"Ntsr1",0,0,0.72,0,0,0
"Hs3st4",0.09,0.29,0,0,0.09,0.52
"Cux1",0,0,0,0.13,0,0
"Abr",0.04,0,0,0.07,0,0
"Atp6v0b",0.19,0.05,0.1,0,0.13,0.16
"Tmem266",0.16,0.01,0,0,0,0.24
"Spink13",0,0,0,0.58,0.06,0.15
"Syn3",0.16,0.04,0,0,0,0
"Rapgef3",0,0.25,0,0,0,0
"Rprml",0,0.26,0,0.18,0,0
"Egflam",0.89,0,0,0,0.65,0
"Cadm1",0.16,0.23,0,0,0.21,0.15
"Lrrc3b",0,0,0,0.13,0,0.29
"Man1a2",0,0,0,0.06,0,0.02
"Rasgef1a",0,0,0,0.12,0,0
"Smco4",0,0,0.17,0,0,0.36
"Gria1",0,0.22,0.12,0.16,0.05,0.14
"Lpcat2",0,0,0,0.32,0,0.15
"Pdia5",0,0,0,0.6,0,0.27
"Il15ra",0,0,0.13,0,0,0.13
"Usp6nl",0,0,0,0,0.31,0.18
"Tmem63c",0,0,0,0,0,0.06
"Atp6v0c",0.27,0.18,0,0,0,0
"Tmem191c",0,0,0,0.11,0,0.02
"Grik5",0,0,0,0,0,0
"Fam13c",0,0,0,0.28,0,0
"Rab38",0,0,0,0.08,0.28,0.41
"Nr5a1os",0,0,0.2,0.17,0,0.48
"Pdlim7",0,0,0,0,0,0.1
"Nbea",0.21,0.18,0,0.03,0.15,0.11
"Myo1b",0,0,0,0,0.76,0.32
"Ndst4",0,0.87,0,0,0,0
"Ptms",0,0,0,0,0.05,0
"Pam",0.14,0,0.05,0,0.2,0.17
"Gprin3",0,0.19,0,0,0,0
"Ano6",0.04,0,0,0,0.02,0
"Samd9l",0,0.69,0,0,0,0
"Mroh7",0.39,0.04,0,0,0,0
"Tmem26",0.22,0,0,0,0.63,0
"Mpped2",0.23,0,0,0.85,0,0
"Igdcc4",0,0,0.1,0,0,0.04
"Stx16",0.2,0,0,0,0,0
"Asap3",0.24,0,0.29,0,0,0
"Cntn1",0.13,0,0,0,0,0.05
"Prdm12",0,0,0.09,0.93,0,0
"4930587E11Rik",0,0,0,0.04,0.1,0
"Kctd1",0,0,0,0.07,0,0.32
"Shank2",0,0,0,0,0,0
"Wipf1",0,0,0,0.16,0,0.58
"Ldhd",0.58,0,0,0,0,0.2
"1700025G04Rik",0,0,0.32,0.07,0,0
"Adamtsl1",0,0.5,0.78,0,0,0
"Map3k5",0,0,0,0,0.24,0.16
"Mapk8",0,0.02,0,0,0,0
"Chsy3",0,0,0,0,0.64,0
"Zc3h12c",0,0,0,0,0.13,0
"Grin2b",0.12,0.23,0,0.19,0.12,0.2
"Chga",0,0,0,0,0.13,0.04
"Cda",0.21,0.22,0,0,0,0
"Apobec4",0,0.04,0,0.2,0,0.22
"Pde1b",0,0.26,0,0,0,0
"Hnrnph3",0.13,0,0.03,0,0,0
"Ptch1",0,0,0,0.35,0,0
"Csmd3",0,0.22,0.11,0,0,0.21
"Shisa4",0,0,0,0,0.02,0.16
"Fyco1",0,0,0,0,0,0.29
"Ppp1r14c",0,0,0.34,0.13,0,0
"Abca8b",0.12,0,0.08,0.39,0,0
"P3h2",0,0,0.06,0,0.17,0.53
"Crym",0,0,0,0.75,0,0.05
"Atp2c2",0.62,0.42,0,0,0,0
"Pou2f2",0.55,0,0.1,0,0,0
"Loxl1",0.67,0.01,0,0,0,0
"Synm",0,0,0.53,0,0,0
"Hs3st1",0,0.21,0,0.21,0,0
"Brinp2",0,0.08,0,0.46,0,0
"Acp1",0,0,0,0.02,0.12,0
"Slc24a2",0,0,0,0,0.22,0
"B3gat2",0.81,0,0,0,0,0
"Dock3",0.01,0,0.02,0,0.07,0.13
"Ablim2",0,0,0,0,0,0.15
"Adm",0,0,0.71,0,0,0
"Kcnb2",0,0,0.17,0,0,0.49
"Pvt1",0,0,0,0,0,0.8
"1700042O10Rik",0,0,0,0.81,0,0.3
"Wrn",0,0.01,0.03,0,0,0
"Pinx1",0,0,0,0.44,0,0
"Gpr155",0,0.03,0,0.03,0,0.17
"Olfr889",0,0,0.1,0.29,0,0.31
"Npas2",0.03,0.63,0,0,0,0
"Esrrg",0,0,0,0.05,0,0.01
"Fgf10",0,0,0,0.9,0.41,0
"Cobl",0,0.13,0,0,0,0
"Megf11",0,0,0.16,0,0,0.83
"Rap1gds1",0,0,0,0.15,0,0.03
"Clca3a1",0.11,0.65,0,0.13,0,0
"Pou2f1",0,0,0.02,0.05,0,0
"Rasgrp1",0,0.28,0,0.04,0.29,0
"Arl6ip1",0,0,0.23,0,0.01,0
"Pcdh10",0,0,0,0,0,0.07
"Eya4",0,0,0.73,0,0,0
"Adrb3",0,0.48,0,0,0,0.58
"Sept1",0,0,0,0.34,0,0
"Efcab12",0,0.31,0,0,0,0
"Phyh",0.29,0,0.03,0,0,0
"Tenm3",0,0,0.29,0,0.27,0
"Lrch1",0.12,0.03,0,0,0,0
"Lrfn2",0.12,0,0,0,0.16,0
"Soat1",0,0,0,0.65,0,0.07
"Sema4f",0,0,0,0.41,0,0
"Gtf2f2",0,0.23,0,0,0,0
"Ptbp3",0,0,0.1,0.29,0,0.04
"St6gal2",0,0.64,0,0,0,0
"Mlec",0,0,0,0,0,0.33
"Ablim1",0.01,0,0,0,0,0
"Cpne4",0,0.35,0,0.25,0,0
"Lrtm1",0,0,0,0,0.15,0.33
"Atp8b1",0,0.97,0,0,0,0
"Lmo4",0,0,0.09,0.05,0.46,0.04
"Bend6",0.14,0,0,0,0,0
"Slc7a3",0.05,0.12,0.38,0,0,0
"Cd52",0,0,0,0.06,0,0.34
"Rapgef4os1",0,0.08,0,0,0,0.05
"Fam114a1",0.83,0.04,0,0,0.27,0
"Spag16",0,0,0,0.02,0.38,0
"Grip1os3",0,0.4,0,0,0,0.4
"Arsk",0,0,0,0.19,0.01,0.28
"Flrt2",0.29,0.49,0,0,0.2,0
"Ppp4r1",0,0,0,0,0,0.13
"Chka",0,0,0,0.06,0,0
"Pde11a",0.64,0,0,0,0,0
"Ccdc81",0,0,0,0.26,0,0.32
"Rab40b",0,0.03,0,0.18,0,0.02
"3010003L21Rik",0,0,0,0.85,0,0
"Slc37a1",0,0,0,0,0.14,0.19
"St3gal4",0,0.1,0.16,0,0,0
"Cdk5",0,0,0,0,0,0.17
"Clmp",0,0.48,0,0,0.11,0
"Mbp",0,0,0,0,0,0.06
"Sntg1",0,0,0.2,0.21,0,0.18
"Arhgap32",0.14,0,0,0,0,0
"Cdo1",0,0.28,0,0,0,0
"Trmt10a",0,0,0,0,0,0.33
"Frmpd3",0,0,0.02,0,0,0.25
"Atp1a1",0,0,0,0,0.17,0.04
"Ociad2",0,0,0.15,0,0,0.1
"Zdbf2",0.34,0,0,0,0.19,0
"Il16",0,0,0,0.81,0,0
"Plekha5",0,0,0,0.25,0,0
"Prkca",0,0.05,0,0.08,0.41,0
"Nr3c2",0,0,0,0.47,0,0.01
"Bves",0,0.6,0,0,0.01,0
"Cacng5",0.3,0.05,0,0,0,0.44
"Hs3st3b1",0,0.15,0,0,0.03,0.73
"Dscaml1",0,0,0.91,0.56,0,0
"Mctp1",0.19,0,0,0.5,0,0
"Xrcc4",0,0,0,0.23,0,0.02
"Kit",0,0,0.6,0.36,0,0
"Dchs1",0.5,0,0.3,0,0,0
"Pkd1l1",0.32,0,0,0,0,0.51
"Penk",0,0.23,0,0,0.25,0
"Gad2",0,0,0.74,0.29,0,0
"Dgkd",0,0,0,0.08,0,0
"Tagap",0,0,0,0,0,0.61
"Nlgn1",0.1,0.18,0.18,0.24,0.24,0.24
"Psg16",0,0,0.14,0,0,0.54
"Necab2",0,0,0.03,0,0,0.53
"Pcnt",0,0,0,0.57,0,0
"Sstr3",0,0,0,0,0.18,0.62
"Fam114a2",0,0,0,0.25,0,0
"Pld3",0,0,0,0,0,0.01
"Tshz1",0,0,0,0.29,0.23,0
"Ankrd29",0.29,0,0.26,0.43,0,0
"Olfm2",0.05,0.22,0,0,0,0
"Rxfp1",0,0.66,0,0,0,0
"Fbxl7",0,0,0.37,0,0,0
"Bmp2",0.18,0.5,0.12,0,0,0
"Adamts18",0,0.5,0.06,0,0,0.13
"Calcrl",0,0.58,0,0,0.35,0
"Rnf152",0.73,0.52,0,0,0.17,0
"Ppm1e",0,0,0,0.27,0,0.28
"Tunar",0,0,0,0,0.49,0
"Slc1a2",0,0.15,0.05,0,0,0
"Ptprz1",0.55,0,0,0.25,0.08,0
"Cacna2d3",0,0,0,0,0.35,0.23
"Rgma",0,0,0.59,0,0,0
"A630012P03Rik",0,0.88,0,0,0,0.37
"Drd3",0.98,0.17,0,0,0,0
"Mob3b",0,0,0.92,0,0,0
"Rab34",0.32,0.05,0,0.46,0,0
"Ripor2",0.07,0.17,0,0,0,0.04
"Ppp1r21",0.35,0.11,0,0,0,0
"Ranbp9",0.01,0,0,0.05,0,0
"Lrrc4",0,0,0,0,0,0.03
"Tll2",0,0.32,0,0,0,0.71
"Ccdc60",0,0.93,0,0,0,0
"Vwa3a",0.08,0.26,0,0.08,0,0
"Rapgef5",0.02,0.18,0,0,0,0
"Myo16",0,0,0.47,0.57,0,0
"Spcs1",0,0,0.1,0,0,0
"Alms1",0,0,0,0,0,0.05
"Pbx4",0,0.09,0,0,0,0
"Ankmy1",0.04,0.29,0,0,0,0
"A230077H06Rik",0,0.39,0,0,0,0
"Wwox",0,0,0.07,0,0.05,0
"Id4",0.13,0.43,0,0,0,0
"Olfr553",0,0.49,0,0,0,0
"Large1",0,0,0,0.18,0,0.24
"Tln2",0,0,0,0,0,0.13
"Cfap61",0,0,0,0,0.17,0.36
"Zfp292",0.1,0,0,0,0,0
"Nox1",0,0,0,0,0.45,0.1
"Lingo4",0.59,0.38,0,0,0.14,0
"Eml6",0.02,0.25,0,0,0,0
"Msh3",0,0,0,0,0,0.31
"Ccdc65",0,0.25,0,0,0,0.12
"Ndrg4",0,0,0,0.13,0,0
"Fggy",0,0,0,0,0,0.05
"Plcxd3",0.43,0,0,0.35,0,0
"Cers6",0,0,0,0.41,0,0
"Fam167a",0.46,0.32,0,0,0,0
"Dgkz",0.24,0,0.16,0,0,0
"Snap25",0,0.15,0.22,0.13,0.14,0.19
"Ubc",0,0,0.1,0,0,0
"Zfp827",0.02,0,0,0.39,0,0
"Hcrt",0,0,0.11,0,0,0
"Mmab",0.01,0.15,0,0,0,0.16
"Tmem145",0,0,0.2,0,0,0.35
"Mrps11",0,0,0.39,0,0,0
"2810459M11Rik",0,0.36,0,0,0,0.44
"Phlda1",0,0,0,0.23,0.03,0.31
"Tenm2",0,0,0.14,0,0.25,0.3
"Cdh4",0,0,0.23,0,0,0.4
"2610035D17Rik",0,0,0.21,0,0,0
"Npr3",0.91,0.19,0,0,0,0
"Tmem176a",0,0,0.69,0,0,0
"Cdh2",0.28,0,0,0,0.17,0
"C2cd2",0,0.1,0,0,0,0
"Nhsl1",0,0,0,0,0.67,0
"Zkscan16",0.33,0,0,0,0,0
"D430019H16Rik",0,0,0,0.29,0,0
"Lonrf3",0,0,0,0,0.14,0.36
"Olfr1426",0,0.5,0,0,0,0
"Sel1l3",0,0,0,0,0.18,0.65
"Igsf21",0,0,0.15,0,0.37,0.08
"Tmed6",0,0,0,0.77,0,0.05
"Nsun2",0,0,0,0,0.03,0.1
"Kctd16",0.29,0,0,0,0,0.09
"Spata1",0,0,0,0.11,0,0.2
"Crb1",0,0.11,0.12,0,0,0.52
"Nespas",0.84,0,0,0,0,0
"C130026L21Rik",0.21,0,0,0,0,0.07
"Pdgfc",0,0.45,0,0,0,0.41
"Kcnj6",0.23,0.42,0,0,0,0
"Polr2a",0,0.03,0,0,0,0
"Alk",0.89,0.64,0,0,0.22,0
"Ccbe1",0,0,0.88,0,0.33,0.05
"Zfp467",0.21,0.05,0,0.17,0,0
"Prrg1",0,0,0,0.53,0,0
"Flot1",0,0,0,0,0,0.09
"Spats2l",0.38,0,0,0.43,0.61,0
"Fam111a",0,0.04,0,0,0,0.29
"Mamld1",0,0.19,0,0.23,0,0
"Lrrc1",0,0,0,0.83,0,0.04
"A330008L17Rik",0.01,0,0,0.84,0,0
"Sult2b1",0,0.37,0,0,0,0
"4833422C13Rik",0.16,0.25,0,0.03,0,0
"Rras2",0.18,0.18,0,0.24,0,0
"Tbc1d9",0,0,0,0,0,0.18
"Gusb",0,0,0.55,0,0,0.23
"4930445B16Rik",0,0.05,0.07,0.39,0,0
"Fam83b",0,0,0.13,0,0,0.75
"Ano3",0,0,0,0,0.19,0.63
"A330074K22Rik",0.1,0.27,0,0,0,0
"Gabrg2",0,0,0,0,0.11,0
"Tnnt2",0,0.76,0,0,0,0
"Ehhadh",0.29,0,0,0.66,0,0
"Kcnc2",0.5,0,0,0.14,0.13,0
"Smap1",0,0,0,0,0,0.05
"Zap70",0.52,0.63,0,0,0,0
"Igsf11",0,0.21,0,0.03,0,0.09
"Mylip",0.69,0.11,0,0,0,0
"Sytl2",0.46,0.3,0,0,0,0
"Rab31",0,0,0,0,0.54,0.23
"Spred3",0,0,0,0,0.25,0
"Sphkap",0.04,0.48,0.54,0,0,0
"Cdh8",0.18,0,0,0.59,0,0
"Acvr1c",0,0,0,0,0,0.74
"F11r",0,0,0.28,0.59,0,0
"Sema3c",0,0.66,0,0.08,0.14,0
"Zmym1",0.05,0,0,0,0,0.02
"Pofut1",0,0,0,0,0,0.18
"Trmt1",0,0,0,0,0,0.08
"Cdh9",0.57,0,0,0,0.13,0
"D3Ertd751e",0,0,0,0,0,0.02
"Osbpl3",0,0.13,0,0,0.48,0.24
"Ckmt1",0,0.27,0,0,0,0
"Mapk15",0,0.3,0,0.11,0,0.36
"Kcnj12",0,0,0.5,0,0,0.07
"Limk2",0.13,0,0,0.06,0,0
"Tmc8",0.36,0.51,0,0,0.01,0
"Kalrn",0.22,0.08,0,0.15,0,0.06
"Ppp4r4",0,0,0,0,0.02,0.04
"Cavin4",0,0,0,0.3,0,0.5
"Cntnap5b",0.54,0,0.24,0,0,0
"B4gat1",0,0,0.16,0,0,0
"Lrriq1",0,0,0,0,0,0.3
"Tgfbr3",0,0,0.16,0,0,0.53
"Scn5a",0,0.47,0,0,0,0.39
"Csnk2a2",0,0.04,0,0,0,0
"Tspan18",0.51,0.43,0,0.14,0,0
"Fam71e1",0.26,0.12,0.03,0,0,0
"Itga5",0,0,0.33,0.12,0.11,0
"Caln1",0,0.07,0,0.51,0,0
"Fam196b",0,0.2,0,0,0,0.02
"Aldh2",0,0.23,0,0,0,0.18
"Ank2",0.16,0.18,0,0.21,0.13,0.24
"Numa1",0.19,0,0,0,0,0
"Pcdh11x",0.69,0,0.41,0.18,0.06,0
"Pdss2",0.02,0,0,0,0,0
"Cyp4f17",0.86,0.06,0,0,0,0
"Reck",0,0,0,0.13,0,0.47
"Rarb",0,0.01,0,0.52,0,0
"Hecw2",0,0.15,0.05,0,0,0
"Begain",0,0,0,0,0,0.1
"Nrsn1",0.3,0.25,0,0,0,0
"Uhrf2",0.26,0,0,0,0,0
"Mindy4b-ps",0,0.08,0,0,0,0.66
"Fam172a",0,0,0,0,0,0
"BC024139",0,0.68,0,0.16,0,0
"Arhgef26",0,0.25,0,0.58,0,0.31
"Dlc1",0,0,0,0.11,0,0.1
"Dlgap2",0,0.07,0,0,0,0.11
"Btbd16",0,0.57,0,0,0,0
"Prickle1",0,0,0,0,0,0.28
"Optn",0,0,0,0,0,0.35
"Selplg",0.16,0.34,0,0.26,0,0
"Rps6ka3",0.04,0.35,0,0,0,0
"Sgk3",0,0.16,0,0.81,0,0
"Sntg2",0.26,0,0,0,0.19,0.21
"Lamp5",0,0.49,0,0.42,0,0
"Slc20a2",0,0,0,0,0.08,0
"Tmem120b",0,0,0,0,0,0.14
"Ror2",0,0.2,0,0.82,0,0
"Dab1",0.16,0.26,0.2,0.19,0,0.17
"Rimbp2",0,0,0,0.05,0,0
"Eef1a1",0,0,0.11,0,0.14,0
"Mthfs",0,0,0.05,0,0,0.1
"Kcnd3",0,0,0,0,0,0.29
"Sgms1",0,0,0.2,0,0,0
"Csmd1",0.21,0.23,0.21,0.19,0,0.22
"Zfp609",0.14,0,0,0,0,0
"Pparg",0,0,0.59,0.32,0,0
"Pde7b",0,0.14,0,0.51,0,0
"Ube2h",0.07,0.06,0,0,0,0
"Cd180",0.07,0,0,0,0,0.29
"Ftx",0,0,0.12,0.09,0,0
"Casp1",0,0,0,0.75,0,0
"Ptprj",0,0,0,0.1,0,0
"Tbx3",0,0,0,0.84,0,0
"Tle4",0.62,0,0,0.24,0,0
"Umodl1",0,0,0,0,0,0.74
"Mc4r",0.49,0.28,0,0.62,0,0
"Rnf121",0,0.07,0,0,0.04,0
"Osbpl8",0,0,0,0.27,0,0
"Atp4a",0,0.3,0,0,0,0.54
"Caprin2",0,0.07,0.19,0,0,0
"C79798",0,0.1,0,0,0,0.44
"Sun1",0,0,0,0.09,0,0
"Baiap2l1",0.19,0.28,0,0,0,0
"Mast2",0,0,0.25,0.08,0,0
"Atrnl1",0,0,0.02,0,0.25,0.2
"Prex1",0,0,0.17,0,0,0.28
"Eml1",0,0.1,0,0,0,0
"Oprd1",0,0,0,0,0.18,0.65
"Zmiz1",0,0.08,0.18,0,0,0
"Macf1",0.18,0.15,0,0.07,0,0.2
"Cep120",0.12,0,0,0.05,0,0
"Lgmn",0,0,0.29,0,0,0
"Zfp933",0,0,0,0,0,0.04
"Mirg",0,0.04,0,0,0.05,0
"Cntnap2",0,0,0.17,0.13,0,0.21
"Ankrd42",0,0,0,0,0,0.05
"Gk5",0.39,0.05,0,0.02,0,0
"Sorcs2",0,0,0.2,0.56,0,0.14
"Cntn4",0,0,0,0,0.66,0.42
"Nmbr",0,0,0,0,0.86,0
"Amph",0.21,0,0,0,0,0
"Zc2hc1a",0,0,0,0,0,0.05
"Coro6",0.66,0.29,0,0.16,0,0
"Xkr4",0.16,0.25,0,0,0,0.13
"Dusp15",0.02,0.03,0,0,0,0.16
"Uso1",0,0.05,0,0,0,0
"Arhgap10",0,0.04,0,0.29,0,0.33
"Hpgd",0,0,0,0.84,0,0.32
"Sirt5",0,0,0,0.03,0,0.21
"Usp46",0,0,0,0,0,0.09
"Gfod1",0,0.31,0,0.04,0,0
"Duox2",0,0,0.77,0,0,0.05
"Ust",0,0,0.37,0.91,0,0
"Fut1",0,0.46,0,0.35,0,0
"Kcnh5",0,0,0,0,0.13,0
"Lepr",0,0,0,0,0,0.74
"Trim62",0.51,0.03,0,0,0,0
"Eva1c",0.38,0.53,0,0,0,0
"Trpc7",0,0.08,0.67,0,0,0
"Mras",0,0,0,0,0.24,0.08
"Magi1",0,0.18,0,0,0,0.17
"Gabbr1",0,0,0,0.11,0.09,0
"Kcnk12",0,0,0.22,0.28,0,0
"Ppp1r13b",0,0,0,0,0,0
"Nr3c1",0,0,0.14,0,0,0
"Reep3",0,0,0,0,0.08,0.19
"Deptor",0,0,0.07,0,0.35,0.35
"Magi2",0,0.16,0,0.24,0.19,0.21
"Wnk2",0,0,0,0,0,0
"March1",0.29,0,0,0.12,0,0.07
"Usp3",0,0,0,0,0,0.29
"Cap2",0,0,0,0.27,0.43,0
"Pigk",0,0.35,0,0,0,0
"Rabif",0,0.02,0,0,0,0.25
"Traip",0,0,0,0.14,0,0.38
"Unc80",0.09,0,0,0.14,0.11,0
"Gng4",0,0.22,0,0.04,0,0
"Cdh7",0.2,0,0.05,0.89,0,0
"Susd2",0.14,0,0,0,0,0.26
"Miat",0.14,0.12,0,0,0,0.05
"Tnrc6a",0.17,0,0,0,0,0
"Prkdc",0,0,0,0.15,0,0.07
"Pitpnc1",0,0,0,0.13,0,0.33
"Camk2g",0.2,0,0,0,0,0
"Dnah10",0.26,0.32,0,0,0,0
"Fgf12",0.02,0,0,0.16,0,0
"Fmn1",0,0.7,0,0,0,0.02
"Skap1",0.75,0.07,0,0,0.12,0
"4921534H16Rik",0,0,0.64,0.55,0,0
"Lrrfip1",0,0,0,0,0.01,0.07
"Gck",0,0,0,0,0,0.4
"Sash1",0.38,0.26,0,0.23,0,0
"Wtip",0.07,0.15,0,0.18,0,0
"Shkbp1",0.21,0,0,0.03,0,0.08
"Ccdc6",0,0,0,0,0,0.05
"Nat8f3",0,0,0,0,0.02,0.33
"Slc22a3",0,0.05,0,0.49,0,0.35
"Igf1r",0,0,0.08,0,0,0
"Lrrtm4",0.18,0,0.06,0.41,0,0
"Kcnn2",0.13,0,0,0,0.3,0
"Dach2",0,0,0.25,0.46,0,0
"Phactr2",0.47,0.68,0,0,0,0
