"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"Mpzl1",0.19,0,0.05,0,0,0
"Kcna1",0,0,0,0.07,0.04,0.29
"Cacna1h",0,0,0,0.04,0.07,0.09
"Sgip1",0,0,0,0.14,0,0.17
"Prkch",0,0,0,0.56,0,0
"Adra2a",0,0.03,0.12,0.61,0,0
"Twist2",0,0.61,0,0,0,0.43
"Spns1",0,0,0,0,0,0.13
"Mical2",0.33,0.49,0,0,0.11,0
"Sorcs1",0,0.42,0,0.06,0,0.03
"Mbd4",0,0.06,0,0.37,0,0
"Gabrb1",0.21,0.01,0,0.07,0,0.23
"Carmil1",0,0,0.03,0.02,0,0
"Neto1",0,0,0,0.67,0,0
"Upp2",0,0,0,0.18,0,0
"Sybu",0.22,0.07,0,0,0.06,0.06
"Ephx1",0.31,0.62,0,0,0,0
"Tpbg",0,0,0,0.05,0.62,0
"Oxtr",0,0.76,0,0,0.03,0
"B3gnt2",0,0,0,0.12,0,0.42
"Mdh1",0,0,0.09,0,0,0
"Irak2",0.34,0,0,0,0.12,0.31
"Ypel2",0.21,0,0,0,0.31,0
"Hgf",0,0,0,0,0.89,0
"Rgs14",0,0,0,0.33,0,0.27
"Slc38a4",0.37,0,0,0.55,0,0
"Lhfp",0,0,0,0.47,0.67,0
"Rmdn2",0,0,0,0,0,0.33
"Cep135",0,0,0,0.32,0,0
"Pfkfb4",0,0,0,0,0,0.02
"Dock5",0,0,0.08,0,0.76,0
"Atp8a2",0,0,0,0,0.16,0.08
"Lin7a",0.34,0.04,0,0,0,0
"Dgkk",0.63,0.52,0,0,0,0
"Dock10",0,0,0,0.49,0,0
"Galnt18",0,0,0,0,0.33,0.24
"Pim2",0,0,0,0,0,0.16
"Myo5c",0,0.56,0,0,0,0
"Aven",0,0,0.06,0.17,0,0.24
"Tom1l1",0,0,0.05,0,0,0.19
"Dync1i2",0,0,0,0.17,0,0
"Lin28b",0,0.36,0,0,0,0
"Abhd18",0.45,0.07,0,0.09,0,0
"C130071C03Rik",0,0,0.5,0.12,0,0.18
"Arap2",0.37,0.31,0,0,0.26,0
"Col5a2",0,0.37,0,0.73,0.12,0
"Rragd",0,0,0,0.14,0,0.23
"Asb2",0.05,0.22,0,0.67,0,0
"Sccpdh",0,0.04,0.11,0,0,0
"Dym",0,0,0,0,0,0
"Sipa1l2",0,0,0,0,0.29,0.28
"Elovl7",0,0,0,0.4,0,0.29
"Chrm1",0,0,0,0.49,0.03,0
"Pid1",0,0.18,0,0,0.2,0
"Rffl",0,0,0,0,0,0.22
"Nedd4l",0,0.41,0,0,0,0
"Tpo",0.41,0,0,0,0.28,0.09
"Slc6a7",0.14,0.15,0,0,0,0
"Agfg2",0,0,0,0.32,0,0.08
"Ell2",0,0,0.36,0.32,0,0
"Wdr78",0,0,0,0.03,0,0
"Prkd2",0,0,0.46,0,0,0
"Wdr95",0,0,0,0,0.12,0.25
"Lrig1",0,0,0.53,0.37,0,0
"Camk2a",0,0.24,0,0,0,0
"Gramd1a",0.01,0,0,0,0,0.04
"Ttc21b",0.12,0.17,0,0,0,0
"Anks1b",0.22,0.24,0.15,0,0.21,0.22
"Abracl",0,0.32,0,0.29,0,0
"Pcyt2",0.08,0,0,0,0,0
"C230014O12Rik",0,0,0.9,0,0,0
"Adamts9",0,0.07,0,0,0,0.73
"Tmem132e",0.14,0,0.17,0,0,0.06
"Med12l",0,0,0,0,0,0
"Sept10",0,0,0,0,0,0.41
"Cmtm8",0,0,0,0,0.09,0.58
"Kif6",0.38,0,0,0,0.12,0.09
"Mtus2",0,0,0,0.04,0,0
"Cdhr2",0.6,0,0,0,0.06,0.37
"5330434G04Rik",0,0.15,0,0,0,0.18
"Frmpd4",0,0.12,0,0.24,0,0.25
"Efna5",0,0.53,0,0,0,0
"Mob1b",0,0,0,0,0,0.05
"Col18a1",0.34,0.88,0,0,0,0
"Cox8a",0,0,0.07,0,0.07,0
"Htr7",0.65,0.89,0,0,0,0
"Synpr",0,0.37,0,0.22,0,0
"Zfp536",0,0,0.86,0,0,0
"Erp29",0.01,0,0.04,0,0,0
"4930447A16Rik",0.43,0.4,0,0,0,0
"Rasgrp2",0.51,0.33,0,0,0,0
"Bcl11a",0,0.78,0,0,0,0.01
"Fam168a",0.16,0.1,0,0,0.03,0
"Fstl5",0.61,0.6,0,0,0,0
"Wnt5a",0,0,0.32,0,0.76,0
"Wsb1",0,0,0,0.05,0,0
"Sstr1",0,0,0,0,0.83,0.13
"Sparcl1",0,0,0.15,0,0.01,0
"Epha6",0.83,0,0,0,0,0
"Klhdc3",0.22,0,0,0,0,0.08
"Ptgdr",0,0.84,0,0,0,0
"Setdb2",0,0.88,0,0,0,0
"Ppm1k",0,0,0.37,0,0,0
"Egfem1",0,0,0,0.1,0,0.61
"Pard3bos1",0,0.62,0.11,0,0,0
"Neto2",0,0.63,0.01,0,0,0
"Prkg1",0,0.24,0,0.22,0.22,0.13
"Slit2",0,0.06,0,0,0.04,0.68
"Efhc2",0.27,0,0,0.29,0,0
"Kif14",0.78,0,0,0,0.06,0
"Fhod3",0,0,0.22,0,0,0.2
"Tprgl",0,0,0.06,0,0,0.2
"Mmp24",0,0,0,0,0,0.18
"Plxdc2",0.68,0,0,0.33,0,0
"Rnf180",0,0,0,0,0,0.1
"Col6a1",0,0,0.87,0.39,0,0
"Fras1",0,0,0.04,0.9,0,0
"Ctdspl",0.08,0,0,0,0.02,0
"Spef2",0.55,0,0,0,0.38,0
"Mettl27",0,0,0,0,0,0.55
"Pde4a",0.4,0.26,0,0,0,0
"4930570G19Rik",0.14,0,0,0,0.16,0
"6430628N08Rik",0,0.44,0,0,0,0.54
"St18",0,0,0.72,0,0,0.47
"Arl15",0.19,0.05,0,0.21,0.01,0
"Zfyve1",0,0,0,0,0,0.07
"Tmem59",0,0,0.09,0,0,0
"Spon1",0.23,0,0.29,0,0,0
"Sh3bgrl2",0,0.25,0,0.46,0,0
"Mphosph9",0,0,0.02,0,0,0
"Appl2",0.11,0.2,0,0,0,0
"Pank1",0,0.1,0,0,0,0
"D430041D05Rik",0.16,0.3,0,0,0,0
"Mapk10",0,0.06,0,0,0,0.11
"Ppp2r3a",0.03,0,0,0,0,0
"Rassf8",0,0,0,0.32,0,0
"Ift43",0,0,0,0,0,0
"Igsf9",0.35,0.04,0,0,0,0
"Galnt7",0,0,0.01,0.19,0,0
"Mt3",0,0,0,0,0,0
"Bicc1",0,0,0,0,0.13,0.24
"Hsd17b2",0,0,0,0,0.24,0.65
