"Gene","Bead","Sup","Enrichment","P"
"Ankrd33b",9.26,3.11,1.59," 1.5e-08"
"Nr2f2",264.5,87.7,1.59," 1.0e-54"
"Dgkg",195.91,65.21,1.59," 2.4e-45"
"Gpr6",5.62,1.84,1.59," 1.3e-05"
"Zbtb7c",55.93,18.81,1.58," 1.4e-30"
"Egr3",14.58,4.83,1.58," 3.5e-13"
"Npffr1",35.25,11.73,1.58," 2.9e-21"
"Sox1",115.79,38.75,1.58," 7.5e-44"
"Tmem158",52.93,17.73,1.58," 5.7e-27"
"Dmrtc1a",22.91,7.67,1.58," 2.1e-19"
"Rasd1",22.74,7.7,1.58," 1.8e-15"
"Samd7",3.36,1.15,1.58," 3.5e-04"
"Tshr",3.43,1.14,1.57," 2.5e-04"
"Kncn",1.96,0.66,1.57," 5.5e-03"
"Crtc1",434.42,146.33,1.57," 5.1e-42"
"Klf16",71.96,24.35,1.57," 7.5e-25"
"Hrh1",45.24,15.31,1.57," 1.6e-29"
"Gabra5",146.03,49.3,1.56," 2.5e-44"
"Rrad",20.45,6.95,1.56," 7.5e-17"
"Nkx2-9",1.46,0.52,1.56," 2.4e-02"
"Ctxn1",282.65,96.64,1.55," 7.4e-37"
"B130046B21Rik",1.35,0.48,1.55," 3.1e-02"
"Fam110a",29.05,9.99,1.55," 3.5e-21"
"Sstr3",40.83,14.08,1.54," 2.6e-23"
"Rab38",1.77,0.61,1.54," 1.3e-02"
"A330009N23Rik",2.8,0.99,1.54," 1.4e-03"
"Kcnip2",125.31,43.57,1.53," 3.7e-34"
"Myh6",8.26,2.88,1.53," 7.2e-08"
"Crip2",123.06,42.89,1.53," 2.6e-32"
"Ajap1",77.85,27.08,1.52," 4.1e-32"
"Hapln4",224.46,77.64,1.52," 3.9e-35"
"Gck",42.73,14.96,1.52," 8.5e-22"
"Fam131a",229.41,80.58,1.52," 1.7e-30"
"Slc17a8",6.15,2.2,1.51," 1.1e-05"
"Prr15",1.61,0.57,1.5," 1.8e-02"
"Slc24a4",27.68,9.72,1.5," 6.5e-19"
"Steap3",9.49,3.35,1.5," 3.4e-09"
"Itpr1",540.77,191.58,1.5," 9.9e-55"
"Elk1",101.2,35.9,1.49," 1.6e-33"
"Cacng6",1.19,0.44,1.49," 4.6e-02"
"Nek2",2.33,0.84,1.49," 4.0e-03"
"Mtfp1",97.96,35.16,1.49," 2.9e-26"
"Ildr1",1.48,0.52,1.48," 2.6e-02"
"Hipk4",54.52,19.44,1.48," 9.4e-29"
"Mc4r",5.53,2.06,1.48," 9.9e-05"
"Kcnab1",142.96,51.44,1.47," 6.2e-41"
"Fkbp1a",728.43,263,1.47," 5.0e-52"
"Coro1a",91.63,33.15,1.47," 7.3e-29"
"Rab11fip1",12.75,4.62,1.47," 6.7e-11"
"Cdh13",229.72,82.78,1.46," 3.7e-43"
"6330403K07Rik",2329.91,852.55,1.46," 4.1e-40"
"Klf14",1.51,0.54,1.46," 2.6e-02"
"Macrod1",21.44,7.8,1.46," 1.3e-13"
"Etnk2",39.85,14.6,1.45," 2.1e-19"
"Tesc",11.3,4.17,1.45," 2.1e-09"
"C3",4.53,1.68,1.45," 8.1e-05"
"Galnt18",33.87,12.4,1.44," 9.0e-19"
"Lama1",22.3,8.22,1.44," 6.8e-16"
"Camkk2",210.6,77.88,1.43," 1.8e-34"
"Shisa2",16.11,6,1.43," 1.9e-11"
"Hpcal4",1596.91,593.51,1.43," 3.5e-42"
"Atp1a1",537.85,196.89,1.43," 5.9e-38"
"D630023F18Rik",11.89,4.41,1.43," 1.3e-09"
"Rasgrf2",1214.39,450.12,1.43," 1.1e-48"
"Itga11",3.12,1.17,1.43," 1.2e-03"
"2900079G21Rik",2.39,0.9,1.43," 1.1e-02"
"Ano3",32.92,12.19,1.42," 9.8e-19"
"Cdh4",124.76,46.52,1.42," 2.7e-35"
"Gamt",23.25,8.92,1.42," 2.4e-12"
"Fank1",16.6,6.28,1.41," 6.4e-12"
"Gm26805",9.48,3.61,1.41," 1.4e-07"
"Amz1",49.73,18.88,1.4," 2.2e-19"
"Rab40b",23.02,8.74,1.4," 8.6e-16"
"Spata2l",25.09,9.53,1.39," 6.7e-15"
"Nol4",248.42,94.71,1.39," 1.1e-41"
"Xkrx",3.53,1.35,1.39," 8.1e-04"
"Ngb",214.09,82.25,1.39," 7.3e-26"
"Sntg2",13.37,5.08,1.39," 2.5e-10"
"6820408C15Rik",7.21,2.77,1.39," 1.5e-06"
"Reep6",9.58,3.67,1.39," 5.4e-08"
"Mn1",96.25,36.72,1.38," 7.1e-21"
"Syt5",181.82,69.4,1.38," 1.2e-30"
"Pi16",11.83,4.57,1.38," 1.6e-08"
"Susd2",58.47,22.38,1.38," 5.2e-26"
"Myh7",16.09,6.18,1.38," 1.1e-11"
"Calb1",679.37,261.23,1.38," 1.0e-49"
"Ankrd34b",213.14,82,1.38," 2.4e-42"
"Nell2",348.54,132.65,1.38," 2.8e-35"
"Vdac3-ps1",1.67,0.63,1.37," 2.6e-02"
"Phyhip",442.07,171.01,1.37," 2.9e-34"
"Gstm4",25.8,10.04,1.37," 4.4e-14"
"Rai1",256.17,98.8,1.37," 7.0e-25"
"BC022687",30.51,11.84,1.37," 3.7e-13"
"Glra1",59.62,23.2,1.36," 7.6e-27"
"Rbfox1",378.85,147.51,1.36," 1.0e-44"
"Dctn1",908.81,355.37,1.36," 1.8e-31"
"Wnt5a",37.67,14.64,1.36," 9.1e-21"
"Il34",36.06,14.01,1.36," 8.8e-15"
"Galnt17",153.82,59.73,1.36," 8.6e-33"
"Acvr1c",28.7,11.1,1.36," 1.5e-15"
"Pak6",132.92,52.33,1.35," 9.6e-25"
"Kremen2",2.76,1.08,1.35," 6.3e-03"
"Pstpip1",2.01,0.8,1.35," 1.8e-02"
"E430024P14Rik",12.74,5,1.34," 1.3e-08"
"Cstad",3.88,1.52,1.34," 2.0e-03"
"Gm32569",1.64,0.62,1.34," 3.8e-02"
"Palmd",18.41,7.29,1.34," 4.2e-12"
"Isyna1",97.99,39.16,1.34," 1.6e-19"
"Srf",81.04,32.4,1.34," 1.4e-20"
"Mycn",8.48,3.37,1.33," 8.4e-07"
"Ssbp4",114.84,45.81,1.33," 1.2e-15"
"C1qtnf2",2.34,0.94,1.33," 1.0e-02"
"Prtn3",2.78,1.14,1.33," 7.0e-03"
"Tmem198",37,14.65,1.33," 3.1e-13"
"Rab26",51.11,20.42,1.33," 5.0e-19"
"Rps6ka2",214.85,85.71,1.33," 1.6e-33"
"Entpd6",124.05,48.85,1.33," 9.5e-28"
"Kir3dl2",2.24,0.89,1.33," 1.1e-02"
"Gm13889",32.77,13.25,1.33," 5.2e-12"
"Sox1ot",93.59,37.31,1.33," 1.3e-28"
"Cnga4",2.01,0.83,1.32," 1.9e-02"
"Fam43b",49.09,19.83,1.32," 5.3e-14"
"Ncdn",2347.16,941.57,1.32," 6.6e-04"
"Lamc2",2.45,0.98,1.32," 8.0e-03"
"Srrm4",183.21,73.48,1.32," 4.0e-37"
"Ap1s1",303.43,122.24,1.32," 4.8e-27"
