"gene","Sample_111475","Sample_111476","Sample_116059","Sample_116060"
"Gm10688",0,0,0.0345305488106479,0
"E230034D01Rik",0.0184548497818095,0.0771943423945931,0,0.0877614535495834
"Gm47345",0.0184548497818095,0.0192985855986483,0.103591646431944,0
"Gm39323",0.0738193991272379,0.212284441585131,0,0.117015271399444
"Thy1",358.983737955758,216.240651632854,312.950363870902,151.095969194533
"Rnf26",0.0184548497818095,0.0192985855986483,0.103591646431944,0.0292538178498611
"AC148328.1",0,0.0771943423945931,0,0.146269089249306
"Usp2",14.3209634306841,23.9688433135212,12.5000586694545,22.3499168372939
"ENSMUSG00000053128",0.516735793890665,0.540360396762152,0.414366585727775,0.468061085597778
"Mfrp",0.313732446290761,0.270180198381076,0.0345305488106479,0.351045814198333
"C1qtnf5",0,0,0,0
"Gm20444",0,0,0,0
"Gm47327",0,0,0,0
"Gm26737",2.10385287512628,1.77546987507564,2.76244390485183,1.69672143529195
"Gm10687",0.387551845417999,1.27370664951079,0.483427683349071,1.40418325679333
"Mcam",3.3034181109439,9.14752957375928,1.93371073339628,7.28420064461542
"Cbl",167.36703267123,179.303158797041,203.937421275687,247.516552827675
"5830462O15Rik",0.0369096995636189,0.192985855986483,0,0.146269089249306
"Gm47255",0.0369096995636189,0.0385971711972965,0,0.146269089249306
"Ccdc153",1.49484283232657,8.78085644738496,0.65608042740231,8.92241444420764
"Pdzd3",2.67595321836237,1.52458826229321,2.69338280723054,1.60895998174236
"Nlrx1",5.90555193017903,7.35276111308499,3.97101311322451,4.76837230952736
"Gm10686",2.08539802534447,2.02635148785807,2.62432170960924,2.07702106734014
"Abcg4",75.646429255637,48.5745399517977,59.4270745031251,39.4634002794627
"Gm48604",5.8501873808336,5.34570821082557,7.35500689666801,7.19643919106584
"Hinfp",33.7170105513659,28.5812052715981,36.8095650321507,35.6896577768306
"C2cd2l",142.489895165351,93.5016472254509,97.6178614877017,60.672418220612
"Dpagt1",8.00940480530531,7.41065686988094,6.66439592045505,4.68061085597778
"Gm48853",0.0553645493454284,0.0385971711972965,0,0.0585076356997222
