"Gene","Bead","Sup","Enrichment","P"
"Ccnjl",7.39,3.72,0.98," 2.2e-04"
"Gm12408",4.83,2.46,0.98," 2.3e-03"
"Cd24a",45.31,22.56,0.97," 4.0e-12"
"1700086L19Rik",63.11,32.15,0.97," 1.0e-19"
"Kcna5",35.05,17.88,0.97," 7.3e-14"
"Resp18",311.67,158.93,0.97," 3.1e-35"
"Tmem176a",22.59,11.46,0.97," 2.3e-09"
"Aurka",2.79,1.43,0.97," 2.6e-02"
"Igbp1b",3.22,1.65,0.96," 1.6e-02"
"Cxcl12",7.78,3.92,0.96," 2.0e-04"
"Itpka",23.22,11.96,0.96," 4.0e-10"
"Kncn",5.72,2.95,0.95," 1.2e-03"
"Epb41l4a",52.05,26.89,0.95," 3.8e-17"
"Rasl10a",5.23,2.71,0.95," 2.0e-03"
"4933412E12Rik",6.56,3.43,0.94," 6.0e-04"
"Spata2l",19.78,10.31,0.94," 7.6e-09"
"Hnf1b",19.37,10.1,0.94," 1.4e-08"
"Dctn1",896.13,468.16,0.94," 6.7e-38"
"Lgals3bp",11.93,6.21,0.93," 8.2e-06"
"2310030G06Rik",8.93,4.8,0.93," 2.9e-04"
"Acsl5",47.85,25.05,0.93," 1.9e-15"
"Tmem28",70.34,36.9,0.93," 2.8e-19"
"Chrm5",5.32,2.79,0.93," 2.4e-03"
"Gm34006",7.14,3.92,0.93," 1.8e-03"
"Fam110a",38.64,20.38,0.92," 1.7e-13"
"Slc38a4",7.11,3.76,0.92," 4.7e-04"
"Ly6e",142.81,75.54,0.92," 3.5e-24"
"Rgs4",562.78,298.25,0.92," 2.2e-34"
"Ly6h",330,174.92,0.92," 1.1e-31"
"Ndufs5-ps",4.12,2.14,0.91," 1.0e-02"
"Gm11837",8.71,4.61,0.91," 2.3e-04"
"Aprt",63.95,33.91,0.91," 1.9e-16"
"1700037H04Rik",376.18,200.69,0.91," 1.2e-29"
"A2ml1",27.9,14.92,0.91," 6.6e-10"
"Tesc",31.87,16.98,0.91," 4.1e-11"
"Camk1g",162.96,87.28,0.91," 6.9e-25"
"Pcbd1",152.97,81.73,0.91," 3.7e-23"
"Prr33",5.86,3.07,0.91," 3.7e-03"
"Rnf128",35.48,18.8,0.91," 6.9e-10"
"Crip2",221.81,118.18,0.9," 1.9e-24"
"Tmem215",9.14,4.88,0.9," 1.1e-04"
"Ephx4",11.09,5.94,0.9," 2.0e-05"
"Gm26805",5.86,3.16,0.9," 2.6e-03"
"Rgs14",39.69,21.4,0.9," 2.0e-12"
"C1qtnf2",3.09,1.66,0.89," 3.0e-02"
"Zfp575",31.88,17.17,0.89," 2.5e-11"
"Snx2",213.7,115.11,0.89," 4.2e-27"
"Syndig1l",28.52,15.36,0.89," 1.6e-10"
"Kcng1",5.31,2.81,0.89," 5.4e-03"
"C1qtnf4",65.88,35.71,0.89," 9.2e-17"
"Barx2",18.25,9.83,0.88," 1.7e-07"
"Pbx3",72.12,38.95,0.88," 6.9e-03"
"Sub1",824.47,448.49,0.88," 2.7e-32"
"Aamp",417.89,226.89,0.88," 9.7e-31"
"Nol8",46.76,25.26,0.88," 3.1e-13"
"Fnta",240.5,131.03,0.88," 5.7e-27"
"Psme2",39.99,21.94,0.88," 3.2e-11"
"Fxyd2",12.3,6.7,0.87," 1.3e-05"
"Rasgrp1",124.84,68.23,0.87," 5.0e-22"
"Smim18",24.55,13.41,0.87," 6.8e-08"
"Tdrp",91.9,50.28,0.87," 3.6e-19"
"Ubl5",262.28,143.6,0.87," 1.4e-26"
"Hspa1b",3.79,2.08,0.87," 1.7e-02"
"Nop16",76.66,41.99,0.87," 6.5e-18"
"Pygl",23.03,12.51,0.87," 5.7e-08"
"Rerg",106.71,58.56,0.87," 1.2e-20"
"Hmx2",13.52,7.4,0.87," 7.2e-06"
"Gskip",170.05,93.44,0.87," 2.0e-21"
"Rpusd1",116.91,64.21,0.86," 5.1e-21"
"Mrpl34",46.58,25.8,0.86," 7.0e-12"
"Mrps34",31.61,17.4,0.86," 1.3e-10"
"Gpr173",34.73,19.12,0.86," 2.9e-11"
"Rasal1",108.97,60.11,0.86," 7.3e-20"
"Bex2",1206.56,665.56,0.86," 6.7e-31"
"Sec61b",35.54,19.57,0.86," 2.1e-11"
"Cstad",6.16,3.42,0.86," 2.5e-03"
"Ethe1",38.86,21.35,0.86," 1.6e-11"
"Npy5r",5.3,2.93,0.86," 5.0e-03"
"Wdr83os",30.27,16.9,0.86," 3.3e-09"
"Kctd13",234.28,129.68,0.85," 1.5e-24"
"A730046J19Rik",7.22,4,0.85," 1.0e-03"
"Gm5802",5.26,2.98,0.85," 7.4e-03"
