"gene_name","gene_id","Bead","Sup","Enrichment","P"
"Gm24973","ENSMUSG00000093329",0,0,,
"1700003E24Rik","ENSMUSG00000095110",0,0,,
"Gm24123","ENSMUSG00000077294",0,0,,
"BC061195","ENSMUSG00000096153",0,0,,
"Gm23454","ENSMUSG00000065266",0,0,,
"Arx","ENSMUSG00000035277",2.09221084191475,10.6110499682414,-2.40534561820327,5.7748015787667e-17
"Pola1","ENSMUSG00000006678",3.21372193566444,8.23438294380806,-1.35751827041799,1.23924900398876e-06
"Gm14780","ENSMUSG00000083207",0.0304335874291585,0.164312909980589,-2.45182434558756,0.312239446483291
"Gm23557","ENSMUSG00000088445",0,0.0196287198335378,-1.41299315654259,
"Gm6985","ENSMUSG00000087255",0,0,,
"Pcyt1b","ENSMUSG00000035246",45.7575581983924,49.8172439861213,-0.122503882774643,0.422117469860263
"Pdk3","ENSMUSG00000035232",45.1253072274915,37.7387373234307,0.256476455429542,0.0810469479284843
"Supt20-ps","ENSMUSG00000082728",0,0,,
"Gm15164","ENSMUSG00000081573",0,0,,
"AU015836","ENSMUSG00000081044",0.0102979336099417,0.0117436591278258,-0.152699604007969,
"Gm14790","ENSMUSG00000083114",0,0,,
"Gm15165","ENSMUSG00000080995",0,0,,
"Gm6987","ENSMUSG00000081055",0,0,,
"Gm14798","ENSMUSG00000087640",0,0.0196287198335378,-1.41299315654259,
"Zfx","ENSMUSG00000079509",24.5450654524208,35.9449318396781,-0.550173985917896,0.000165124844434909
"Eif2s3x","ENSMUSG00000035150",10.43985071861,13.5540148324031,-0.364801001445891,0.104675639900747
"Klhl15","ENSMUSG00000043929",49.5152409139522,53.6177056246529,-0.107027800982548,0.535371576808532
"Mir7673","ENSMUSG00000099072",0,0,,
"Gm5400","ENSMUSG00000080923",0.0102979336099417,0.025150435796252,-1.04054108067058,
"Gm14826","ENSMUSG00000082759",0,0,,
"Gm14825","ENSMUSG00000084214",0,0,,
"Fam90a1b","ENSMUSG00000043549",1.34481343458247,0.914011532177133,0.572506847389323,0.434321391631813
"Apoo","ENSMUSG00000079508",2.64634977532023,1.91771343064957,0.466004108916651,0.322244961646916
"Gm44477","ENSMUSG00000105544",0,0.00981435991676889,-1.01576581800611,
